event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,ablation_mode
6f83169d_track11_controlled_visual_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,1.9348322109682803,0.8758399339847256,same_id,4.0,controlled_visual,motion_only
6f83169d_track11_controlled_visual_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,1.9348322109682803,0.8758399339847256,same_id,4.0,controlled_visual,appearance_only
6f83169d_track11_controlled_visual_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,1.9348322109682803,0.8758399339847256,same_id,4.0,controlled_visual,dual
6f83169d_track11_controlled_visual_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,0.7989631182638443,0.8729402657793539,same_id,0.0,controlled_visual,motion_only
6f83169d_track11_controlled_visual_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,0.7989631182638443,0.8729402657793539,same_id,0.0,controlled_visual,appearance_only
6f83169d_track11_controlled_visual_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,0.7989631182638443,0.8729402657793539,same_id,0.0,controlled_visual,dual
6f83169d_track11_controlled_visual_d5_c1.0,oatm_motion_only,True,5,1,0.2,False,1,0.24236824078459196,0.9325120437787452,not_recovered,,controlled_visual,motion_only
6f83169d_track11_controlled_visual_d5_c1.0,oatm_appearance_only,True,5,1,0.2,False,1,0.24236824078459196,0.9325120437787452,not_recovered,,controlled_visual,appearance_only
6f83169d_track11_controlled_visual_d5_c1.0,oatm_dual,True,5,1,0.2,False,1,0.24236824078459196,0.9325120437787452,not_recovered,,controlled_visual,dual
325cef68_track27_controlled_visual_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,4.7269195072010675,0.8243981164611092,same_id,0.0,controlled_visual,motion_only
325cef68_track27_controlled_visual_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,9.288508137571473,0.6798827273379662,same_id,0.0,controlled_visual,appearance_only
325cef68_track27_controlled_visual_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,5.344247630773351,0.8118925527087273,same_id,0.0,controlled_visual,dual
325cef68_track27_controlled_visual_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,11.425098148331713,0.6428238270768537,same_id,0.0,controlled_visual,motion_only
325cef68_track27_controlled_visual_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,127.84553004563475,0.0,new_id,5.0,controlled_visual,appearance_only
325cef68_track27_controlled_visual_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,12.256872959921386,0.6205402685771454,same_id,0.0,controlled_visual,dual
325cef68_track27_controlled_visual_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,18.36111471389284,0.49815934977797405,same_id,0.0,controlled_visual,motion_only
325cef68_track27_controlled_visual_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,181.2727533515427,0.0,new_id,0.0,controlled_visual,appearance_only
325cef68_track27_controlled_visual_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,48.53289381623287,0.12410283688614632,new_id,0.0,controlled_visual,dual
325cef68_track27_controlled_visual_d5_c1.0,oatm_motion_only,True,5,5,1.0,True,5,18.36111471389284,0.49815934977797405,same_id,0.0,controlled_visual,motion_only
325cef68_track27_controlled_visual_d5_c1.0,oatm_appearance_only,True,5,5,1.0,True,5,48.72408320174132,0.098770886861038,new_id,0.0,controlled_visual,appearance_only
325cef68_track27_controlled_visual_d5_c1.0,oatm_dual,True,5,5,1.0,True,5,51.4883506001191,0.08496276467787062,new_id,0.0,controlled_visual,dual
de7d80a1_track8_controlled_visual_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,1.1216619721607979,0.7827244636778787,same_id,0.0,controlled_visual,motion_only
de7d80a1_track8_controlled_visual_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,1.1216619721607979,0.7827244636778787,same_id,0.0,controlled_visual,appearance_only
de7d80a1_track8_controlled_visual_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,1.1216619721607979,0.7827244636778787,same_id,0.0,controlled_visual,dual
de7d80a1_track8_controlled_visual_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,controlled_visual,motion_only
de7d80a1_track8_controlled_visual_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,controlled_visual,appearance_only
de7d80a1_track8_controlled_visual_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,1.258058260028217,0.7973058349855595,same_id,0.0,controlled_visual,dual
de7d80a1_track8_controlled_visual_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,2.610465100387597,0.7483291087795274,same_id,0.0,controlled_visual,motion_only
de7d80a1_track8_controlled_visual_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,2.610465100387597,0.7483291087795274,same_id,0.0,controlled_visual,appearance_only
de7d80a1_track8_controlled_visual_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,2.610465100387597,0.7483291087795274,same_id,0.0,controlled_visual,dual
de7d80a1_track8_controlled_visual_d5_c1.0,oatm_motion_only,True,5,1,0.2,False,1,2.164976013494808,0.8508838010703883,new_id,0.0,controlled_visual,motion_only
de7d80a1_track8_controlled_visual_d5_c1.0,oatm_appearance_only,True,5,1,0.2,False,1,2.164976013494808,0.8508838010703883,new_id,0.0,controlled_visual,appearance_only
