event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,duration,coverage
cc8c0bf5_track2_detector_intervention_d2_c0.5,sort,True,2,2,1.0,True,2,0.8714962639967763,0.769587537826884,same_id,0.0,detector_intervention,2,0.5
cc8c0bf5_track2_detector_intervention_d2_c0.5,bytetrack,True,2,2,1.0,True,2,1.1843461177631014,0.7982568946516652,same_id,0.0,detector_intervention,2,0.5
cc8c0bf5_track2_detector_intervention_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,1.1843461177631014,0.7982568946516652,same_id,0.0,detector_intervention,2,0.5
cc8c0bf5_track2_detector_intervention_d2_c1.0,yolo_only,False,2,0,,,0,,,n/a,,detector_intervention,2,1.0
cc8c0bf5_track2_detector_intervention_d2_c1.0,static_memory,True,2,2,1.0,True,2,6.5847252579417175,0.6949996514519341,same_id,0.0,detector_intervention,2,1.0
cc8c0bf5_track2_detector_intervention_d2_c1.0,sort,True,2,2,1.0,True,2,0.8714962639967763,0.769587537826884,same_id,0.0,detector_intervention,2,1.0
cc8c0bf5_track2_detector_intervention_d2_c1.0,bytetrack,True,2,2,1.0,True,2,2.6393156943046643,0.77511107364876,same_id,0.0,detector_intervention,2,1.0
cc8c0bf5_track2_detector_intervention_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,2.6393156943046643,0.77511107364876,same_id,0.0,detector_intervention,2,1.0
cc8c0bf5_track2_detector_intervention_d5_c0.5,yolo_only,True,5,0,0.0,False,0,,,detected,1.0,detector_intervention,5,0.5
cc8c0bf5_track2_detector_intervention_d5_c0.5,static_memory,True,5,5,1.0,True,5,8.848983331260712,0.6573706434644047,new_id,2.0,detector_intervention,5,0.5
cc8c0bf5_track2_detector_intervention_d5_c0.5,sort,True,5,5,1.0,True,5,1.377303908205368,0.7990828516722394,new_id,2.0,detector_intervention,5,0.5
cc8c0bf5_track2_detector_intervention_d5_c0.5,bytetrack,True,5,5,1.0,True,5,0.9486146196833554,0.8515593136097312,same_id,0.0,detector_intervention,5,0.5
cc8c0bf5_track2_detector_intervention_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,0.9486146196833554,0.8515593136097312,same_id,0.0,detector_intervention,5,0.5
cc8c0bf5_track2_detector_intervention_d5_c1.0,yolo_only,True,5,0,0.0,False,0,,,detected,1.0,detector_intervention,5,1.0
cc8c0bf5_track2_detector_intervention_d5_c1.0,static_memory,True,5,5,1.0,True,5,8.848983331260712,0.6573706434644047,new_id,2.0,detector_intervention,5,1.0
cc8c0bf5_track2_detector_intervention_d5_c1.0,sort,True,5,5,1.0,True,5,1.377303908205368,0.7990828516722394,new_id,2.0,detector_intervention,5,1.0
cc8c0bf5_track2_detector_intervention_d5_c1.0,bytetrack,True,5,5,1.0,True,5,2.318341438489071,0.806962409002411,same_id,0.0,detector_intervention,5,1.0
cc8c0bf5_track2_detector_intervention_d5_c1.0,oatm_mvp,True,5,5,1.0,True,5,2.318341438489071,0.806962409002411,same_id,0.0,detector_intervention,5,1.0
c5224b9b_track18_detector_intervention_d2_c0.5,yolo_only,False,2,0,,,0,,,n/a,,detector_intervention,2,0.5
c5224b9b_track18_detector_intervention_d2_c0.5,static_memory,False,2,0,,,0,,,n/a,,detector_intervention,2,0.5
c5224b9b_track18_detector_intervention_d2_c0.5,sort,False,2,0,,,0,,,n/a,,detector_intervention,2,0.5
c5224b9b_track18_detector_intervention_d2_c0.5,bytetrack,True,2,2,1.0,True,2,1.8703311315702056,0.8898937174361365,same_id,0.0,detector_intervention,2,0.5
c5224b9b_track18_detector_intervention_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,1.8703311315702056,0.8898937174361365,same_id,0.0,detector_intervention,2,0.5
c5224b9b_track18_detector_intervention_d2_c1.0,yolo_only,False,2,0,,,0,,,n/a,,detector_intervention,2,1.0
c5224b9b_track18_detector_intervention_d2_c1.0,static_memory,False,2,0,,,0,,,n/a,,detector_intervention,2,1.0
c5224b9b_track18_detector_intervention_d2_c1.0,sort,False,2,0,,,0,,,n/a,,detector_intervention,2,1.0
c5224b9b_track18_detector_intervention_d2_c1.0,bytetrack,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,detector_intervention,2,1.0
c5224b9b_track18_detector_intervention_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,detector_intervention,2,1.0
c5224b9b_track18_detector_intervention_d5_c0.5,yolo_only,False,5,0,,,0,,,n/a,,detector_intervention,5,0.5
c5224b9b_track18_detector_intervention_d5_c0.5,static_memory,False,5,0,,,0,,,n/a,,detector_intervention,5,0.5
c5224b9b_track18_detector_intervention_d5_c0.5,sort,False,5,0,,,0,,,n/a,,detector_intervention,5,0.5
c5224b9b_track18_detector_intervention_d5_c0.5,bytetrack,True,5,5,1.0,True,5,2.3829530581201963,0.868115846358468,same_id,0.0,detector_intervention,5,0.5
c5224b9b_track18_detector_intervention_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,2.3829530581201963,0.868115846358468,same_id,0.0,detector_intervention,5,0.5
c5224b9b_track18_detector_intervention_d5_c1.0,yolo_only,False,5,0,,,0,,,n/a,,detector_intervention,5,1.0
c5224b9b_track18_detector_intervention_d5_c1.0,static_memory,False,5,0,,,0,,,n/a,,detector_intervention,5,1.0
c5224b9b_track18_detector_intervention_d5_c1.0,sort,False,5,0,,,0,,,n/a,,detector_intervention,5,1.0
c5224b9b_track18_detector_intervention_d5_c1.0,bytetrack,True,5,5,1.0,True,5,3.0421693908460616,0.8428625182001415,same_id,0.0,detector_intervention,5,1.0
c5224b9b_track18_detector_intervention_d5_c1.0,oatm_mvp,True,5,5,1.0,True,5,3.0421693908460616,0.8428625182001415,same_id,0.0,detector_intervention,5,1.0
6f83169d_track21_detector_intervention_d2_c0.5,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,detector_intervention,2,0.5
6f83169d_track21_detector_intervention_d2_c0.5,static_memory,True,2,2,1.0,True,2,1.6479341670808734,0.945633261640082,same_id,0.0,detector_intervention,2,0.5
6f83169d_track21_detector_intervention_d2_c0.5,sort,True,2,2,1.0,True,2,4.2062444794847815,0.8419321605674308,same_id,0.0,detector_intervention,2,0.5
6f83169d_track21_detector_intervention_d2_c0.5,bytetrack,True,2,2,1.0,True,2,2.6456001291906652,0.8874511060040859,same_id,0.0,detector_intervention,2,0.5
6f83169d_track21_detector_intervention_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,2.6456001291906652,0.8874511060040859,same_id,0.0,detector_intervention,2,0.5
6f83169d_track21_detector_intervention_d2_c1.0,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,detector_intervention,2,1.0
6f83169d_track21_detector_intervention_d2_c1.0,static_memory,True,2,2,1.0,True,2,1.6479341670808734,0.945633261640082,same_id,0.0,detector_intervention,2,1.0
6f83169d_track21_detector_intervention_d2_c1.0,sort,True,2,2,1.0,True,2,4.2062444794847815,0.8419321605674308,same_id,0.0,detector_intervention,2,1.0
6f83169d_track21_detector_intervention_d2_c1.0,bytetrack,True,2,2,1.0,True,2,4.156171439693743,0.8544441682370268,same_id,0.0,detector_intervention,2,1.0
6f83169d_track21_detector_intervention_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,4.156171439693743,0.8544441682370268,same_id,0.0,detector_intervention,2,1.0
6f83169d_track21_detector_intervention_d5_c0.5,yolo_only,True,5,0,0.0,False,0,,,detected,5.0,detector_intervention,5,0.5
6f83169d_track21_detector_intervention_d5_c0.5,static_memory,True,5,5,1.0,True,5,5.736471142410837,0.8338941263186456,new_id,6.0,detector_intervention,5,0.5
6f83169d_track21_detector_intervention_d5_c0.5,sort,True,5,5,1.0,True,5,9.70539165363319,0.7329327109603009,new_id,6.0,detector_intervention,5,0.5
6f83169d_track21_detector_intervention_d5_c0.5,bytetrack,True,5,5,1.0,True,5,4.941667609150418,0.8235442863251411,same_id,0.0,detector_intervention,5,0.5
6f83169d_track21_detector_intervention_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,4.941667609150418,0.8235442863251411,same_id,0.0,detector_intervention,5,0.5
6f83169d_track21_detector_intervention_d5_c1.0,yolo_only,True,5,0,0.0,False,0,,,detected,5.0,detector_intervention,5,1.0
6f83169d_track21_detector_intervention_d5_c1.0,static_memory,True,5,5,1.0,True,5,5.736471142410837,0.8338941263186456,new_id,6.0,detector_intervention,5,1.0
6f83169d_track21_detector_intervention_d5_c1.0,sort,True,5,5,1.0,True,5,9.70539165363319,0.7329327109603009,new_id,6.0,detector_intervention,5,1.0
6f83169d_track21_detector_intervention_d5_c1.0,bytetrack,True,5,5,1.0,True,5,9.600177500808654,0.7460023496245085,new_id,6.0,detector_intervention,5,1.0
6f83169d_track21_detector_intervention_d5_c1.0,oatm_mvp,True,5,1,0.2,False,1,1.3403605019597615,0.9142564916567993,new_id,6.0,detector_intervention,5,1.0
6f83169d_track11_controlled_visual_d2_c0.5,yolo_only,False,2,0,,,0,,,n/a,,controlled_visual,2,0.5
6f83169d_track11_controlled_visual_d2_c0.5,static_memory,True,2,2,1.0,True,2,3.234578617934684,0.8490717313935376,new_id,5.0,controlled_visual,2,0.5
6f83169d_track11_controlled_visual_d2_c0.5,sort,True,2,2,1.0,True,2,2.092210809297731,0.8532703134124028,new_id,5.0,controlled_visual,2,0.5
6f83169d_track11_controlled_visual_d2_c0.5,bytetrack,True,2,2,1.0,True,2,1.3939985993655715,0.9119733818242699,same_id,4.0,controlled_visual,2,0.5
6f83169d_track11_controlled_visual_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,1.3939985993655715,0.9119733818242699,same_id,4.0,controlled_visual,2,0.5
6f83169d_track11_controlled_visual_d2_c1.0,yolo_only,False,2,0,,,0,,,n/a,,controlled_visual,2,1.0
6f83169d_track11_controlled_visual_d2_c1.0,static_memory,True,2,2,1.0,True,2,3.234578617934684,0.8490717313935376,new_id,5.0,controlled_visual,2,1.0
6f83169d_track11_controlled_visual_d2_c1.0,sort,True,2,2,1.0,True,2,2.092210809297731,0.8532703134124028,new_id,5.0,controlled_visual,2,1.0
6f83169d_track11_controlled_visual_d2_c1.0,bytetrack,True,2,2,1.0,True,2,1.9348322109682803,0.8758399339847256,new_id,5.0,controlled_visual,2,1.0
