clip,track_id,gap_length,frame_offset_in_gap,variant,center_error_px,iou
clip_sample_001,1,5,3,static_memory,8.084596161039272,0.8285890108283622
clip_sample_001,1,5,3,sort_with_motion,4.345811186388168,0.9172151677563578
clip_sample_001,1,5,3,sort_zero_velocity,8.18518417840419,0.826884566269729
clip_sample_001,1,5,4,static_memory,11.759521058773272,0.7712801053973197
clip_sample_001,1,5,4,sort_with_motion,3.6465270190828565,0.922334364619235
clip_sample_001,1,5,4,sort_zero_velocity,11.863377508618909,0.769677317983574
clip_sample_001,3,1,0,static_memory,0.19502668115285035,0.9824111975956429
clip_sample_001,3,1,0,sort_with_motion,0.6006950925711706,0.9588589996141116
clip_sample_001,3,1,0,sort_zero_velocity,0.26923420946481713,0.9835442178484471
clip_sample_001,3,2,0,static_memory,0.6266190353702705,0.9645205923128769
clip_sample_001,3,2,0,sort_with_motion,0.6107262863754822,0.9575045850965599
clip_sample_001,3,2,0,sort_zero_velocity,1.212263387414835,0.9333390410374353
clip_sample_001,3,2,1,static_memory,0.7743959122872812,0.9482825333806334
clip_sample_001,3,2,1,sort_with_motion,0.6236779658105611,0.949538401256236
clip_sample_001,3,2,1,sort_zero_velocity,1.3330500319435838,0.9211525155545233
clip_sample_001,3,3,0,static_memory,0.6266190353702705,0.9645205923128769
clip_sample_001,3,3,0,sort_with_motion,0.6107262863754822,0.9575045850965599
clip_sample_001,3,3,0,sort_zero_velocity,1.212263387414835,0.9333390410374353
clip_sample_001,3,3,1,static_memory,0.7743959122872812,0.9482825333806334
clip_sample_001,3,3,1,sort_with_motion,0.6236779658105611,0.949538401256236
clip_sample_001,3,3,1,sort_zero_velocity,1.3330500319435838,0.9211525155545233
clip_sample_001,3,3,2,static_memory,1.961790880661366,0.8745364546669635
clip_sample_001,3,3,2,sort_with_motion,1.1483570597128492,0.9345675300348129
clip_sample_001,3,3,2,sort_zero_velocity,2.54995853751404,0.849012822690212
clip_sample_001,3,5,0,static_memory,2.079632520813632,0.8862745009944231
clip_sample_001,3,5,0,sort_with_motion,1.868768575396051,0.8895897948424343
clip_sample_001,3,5,0,sort_zero_velocity,2.399336601629745,0.8711305553256005
clip_sample_001,3,5,1,static_memory,2.704996974996988,0.8555671893722514
clip_sample_001,3,5,1,sort_with_motion,2.007557880346781,0.8740550097559202
clip_sample_001,3,5,1,sort_zero_velocity,3.022830261056701,0.8407738159333467
clip_sample_001,3,5,2,static_memory,2.835701592500165,0.8408369663248787
clip_sample_001,3,5,2,sort_with_motion,1.7073808351131459,0.8857007528873068
clip_sample_001,3,5,2,sort_zero_velocity,3.148315635553596,0.826341916741591
clip_sample_001,3,5,3,static_memory,4.041386083430014,0.774494467293872
clip_sample_001,3,5,3,sort_with_motion,2.5545130685774793,0.8313817444711542
clip_sample_001,3,5,3,sort_zero_velocity,4.360595379203437,0.7606678366426783
clip_sample_001,3,5,4,static_memory,5.283513473077317,0.7112257910664617
clip_sample_001,3,5,4,sort_with_motion,3.187538570366089,0.7925381135466324
clip_sample_001,3,5,4,sort_zero_velocity,5.598986084175507,0.6980602233354111
clip_sample_001,4,1,0,static_memory,2.0685212392699786,0.9295520528003505
clip_sample_001,4,1,0,sort_with_motion,2.2341595503431506,0.9125067239733444
clip_sample_001,4,1,0,sort_zero_velocity,2.7939750096491642,0.9054243053793573
clip_sample_001,4,2,0,static_memory,2.5371900218910377,0.9127633595026395
clip_sample_001,4,2,0,sort_with_motion,2.311106326216184,0.9155628215071124
clip_sample_001,4,2,0,sort_zero_velocity,2.965713325343505,0.8963479794342076
clip_sample_001,4,2,1,static_memory,4.563362704253636,0.8531623860108917
clip_sample_001,4,2,1,sort_with_motion,3.989002335978495,0.8546602592958968
clip_sample_001,4,2,1,sort_zero_velocity,4.97593683757664,0.838210437036093
clip_sample_001,4,3,0,static_memory,2.5371900218910377,0.9127633595026395
clip_sample_001,4,3,0,sort_with_motion,2.311106326216184,0.9155628215071124
clip_sample_001,4,3,0,sort_zero_velocity,2.965713325343505,0.8963479794342076
clip_sample_001,4,3,1,static_memory,4.563362704253636,0.8531623860108917
